PLZ,Bestimmungsort,OKZ,Ortschaft,GEMNR,GEMNAM
1010,Wien,17223,"Wien,Innere Stadt",90001,Wien
1020,Wien,17224,"Wien,Leopoldstadt",90001,Wien
1030,Wien,17225,"Wien,Landstraße",90001,Wien
1040,Wien,17226,"Wien,Wieden",90001,Wien
1050,Wien,17227,"Wien,Margareten",90001,Wien
1060,Wien,17228,"Wien,Mariahilf",90001,Wien
1070,Wien,17229,"Wien,Neubau",90001,Wien
1080,Wien,17230,"Wien,Josefstadt",90001,Wien
1090,Wien,17231,"Wien,Alsergrund",90001,Wien
1100,Wien,17232,"Wien,Favoriten",90001,Wien
1110,Wien,17233,"Wien,Simmering",90001,Wien
1120,Wien,17234,"Wien,Meidling",90001,Wien
1130,Wien,17235,"Wien,Hietzing",90001,Wien
1140,Mauerbach,6714,Mauerbach,31950,Mauerbach
1140,Purkersdorf,6722,Purkersdorf,31952,Purkersdorf
1140,Wien,17236,"Wien,Penzing",90001,Wien
1150,Wien,17237,"Wien,Rudolfsheim-Fünfhaus",90001,Wien
1160,Wien,17238,"Wien,Ottakring",90001,Wien
1170,Wien,17239,"Wien,Hernals",90001,Wien
1180,Wien,17240,"Wien,Währing",90001,Wien
1190,Wien,17241,"Wien,Döbling",90001,Wien
1200,Wien,17242,"Wien,Brigittenau",90001,Wien
1210,Langenzersdorf,4096,Langenzersdorf,31214,Langenzersdorf
1210,Wien,17243,"Wien,Floridsdorf",90001,Wien
1220,Wien,17244,"Wien,Donaustadt",90001,Wien
1230,Wien,17245,"Wien,Liesing",90001,Wien
1300,Wien Flughafen,6726,Mannswörth,30740,Schwechat
2000,Hausleiten,4090,Zissersdorf,31208,Hausleiten
2000,Sierndorf,4120,Oberolberndorf,31226,Sierndorf
2000,Stockerau,4112,Oberzögersdorf,31230,Stockerau
2000,Stockerau,4132,Stockerau,31230,Stockerau
2000,Stockerau,4133,Unterzögersdorf,31230,Stockerau
2002,Großmugl,4064,Füllersdorf,31204,Großmugl
2002,Großmugl,4065,Geitzendorf,31204,Großmugl
2002,Großmugl,4067,Großmugl,31204,Großmugl
